sigma instument: 0.900000; template number: 300; mask region: 0; degree: 10; velocity dispersion: 220 km/s; chi^2: 1.224232;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 11; velocity dispersion: 220 km/s; chi^2: 1.166453;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 12; velocity dispersion: 220 km/s; chi^2: 1.161551;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 13; velocity dispersion: 220 km/s; chi^2: 1.154639;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 14; velocity dispersion: 218 km/s; chi^2: 1.096676;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 15; velocity dispersion: 218 km/s; chi^2: 1.096123;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 16; velocity dispersion: 216 km/s; chi^2: 1.049538;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 17; velocity dispersion: 217 km/s; chi^2: 1.039235;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 18; velocity dispersion: 219 km/s; chi^2: 1.009154;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 19; velocity dispersion: 219 km/s; chi^2: 0.979770;
sigma instument: 0.900000; template number: 300; mask region: 0; degree: 20; velocity dispersion: 220 km/s; chi^2: 0.973678;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 4; velocity dispersion: 232 km/s; chi^2: 1.329444;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 5; velocity dispersion: 215 km/s; chi^2: 1.218102;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 6; velocity dispersion: 214 km/s; chi^2: 1.132210;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 7; velocity dispersion: 218 km/s; chi^2: 1.114012;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 8; velocity dispersion: 220 km/s; chi^2: 1.111359;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 9; velocity dispersion: 229 km/s; chi^2: 1.075470;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 10; velocity dispersion: 229 km/s; chi^2: 1.070147;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 11; velocity dispersion: 225 km/s; chi^2: 1.005607;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 12; velocity dispersion: 224 km/s; chi^2: 0.934958;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 13; velocity dispersion: 224 km/s; chi^2: 0.934086;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 14; velocity dispersion: 225 km/s; chi^2: 0.903830;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 15; velocity dispersion: 225 km/s; chi^2: 0.895162;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 16; velocity dispersion: 225 km/s; chi^2: 0.893824;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 17; velocity dispersion: 225 km/s; chi^2: 0.893526;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 18; velocity dispersion: 224 km/s; chi^2: 0.892817;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 19; velocity dispersion: 226 km/s; chi^2: 0.891768;
sigma instument: 0.900000; template number: 300; mask region: 1; degree: 20; velocity dispersion: 227 km/s; chi^2: 0.888644;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 4; velocity dispersion: 231 km/s; chi^2: 1.640431;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 5; velocity dispersion: 242 km/s; chi^2: 1.531965;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 6; velocity dispersion: 219 km/s; chi^2: 1.461984;
sigma instument: 0.900000; template number: 350; mask region: 0; degree: 7; velocity dispersion: 217 km/s; chi^2: 1.423309;
